id,snr (dB),rssi (dBm),Record Count,clus_km
0,-0.5,-109,6123,2
1,-5.2,-99,4081,1
2,-3.8,-104,3889,1
3,-4.8,-104,3516,1
4,-9.2,-115,3180,1
5,-2.5,-108,2969,1
6,-1.35,-107,2742,1
7,-8.5,-111,2078,1
8,-20.2,-100,1471,0
9,-3.8,-108,1452,0
10,-1.5,-115,1090,0
11,-2.2,-109,841,0
12,-0.8,-113,571,0
13,-10.0,-109,505,0
14,-4.8,-113,492,0
15,-15.0,-96,456,0
16,-8.5,-113,453,0
17,-16.0,-98,432,0
18,-18.0,-119,334,0
19,-3.8,-113,326,0
20,-14.65,-120,318,0
21,-16.0,-111,270,0
22,1.2,-108,257,0
23,-5.8,-115,246,0
24,-13.2,-117,242,0
25,-2.5,-115,179,0
26,-17.9,-114,42,0
27,-20.5,-116,27,0
28,-20.2,-116,27,0
29,-20.25,-113,8,0
30,1.0,-113,1,0
31,-16.0,-117,1,0
